,Date,Rate,reviews
0,2018年10月20日,5,名字為何是 這日文因該是日版 ……… 有調語言嗎
1,2018年10月19日,5,一人血书求汉化_(´ཀ`」 ∠)__
2,2018年10月21日,5,希望台版回來啊！變成日版就頭腦爆炸了...完全看不懂...
3,2018年10月22日,5,更新之後 升級人物要在哪裡升級 我找不到。。
4,2018年10月20日,5,帳號登入不進去 可以幫忙嗎？
5,2018年10月24日,5,動畫超好看
6,2018年10月13日,5,光是收集人物立绘就很值得玩了(≧▽≦)
7,2018年10月13日,5,主線在哪
8,2018年10月20日,5,很好玩
9,2018年10月16日,5,nice~
10,2018年9月27日,4,新版本的首頁刪掉了「傭兵一覽」，雖然對重視角色造型的玩家來說很棒，但對重視角色養成的玩家來說會稍微有點不方便> <💦💦
11,2018年9月30日,5,最喜歡的遊戲qq 不管是畫風還是玩法 官方也很定期的在更新新東西 我覺得超棒
12,2018年9月29日,5,大家都該來玩玩梅露可 真的 謝謝官方一直以來的進步
13,2018年10月1日,5,這遊戲真的很好玩 畫風可愛 又沒有流血暴力很溫暖 然後聊天室超棒
14,2018年10月29日,5,三星的手機更新之後一直沒辦法登入，整個當掉。刪掉重載也沒用
15,2018年9月29日,5,每個角色都畫得很用心
16,2018年9月27日,5,新介面所有人都該來玩一次！
17,2018年10月29日,5,我非常喜歡這遊戲
18,2018年9月30日,5,改版後的介面好漂亮♡回鍋玩家
19,2018年10月11日,5,想要翻譯 😭😭😭😭
20,2018年9月28日,5,沉迷
21,2018年9月27日,5,大改版好讚(≧∇≦)b
22,2018年9月11日,5,已經在日版一年了，超好玩~＜ 不懂日文，但慢慢摸索也是一種樂趣
23,2018年9月27日,5,讚啦！
24,2018年12月8日,5,帳號不見了。。。吐血
25,2018年9月23日,5,Good
26,2018年9月29日,5,好玩
27,2018年8月21日,3,服務品質讚！
28,2018年8月20日,1,帳號更新完之後就不見了 傻眼內
29,2018年8月16日,3,鑽石在多一點
30,2018年8月20日,3,越來越好了
31,2018年8月13日,5,為什麼 我現在等不進去.....
32,2018年8月19日,5,大讚
33,2018年7月31日,5,別再那邊求中文版了 以前有但在2017/12/31收了 而且也不是沒有中文房好咩？有問題不會去問問？
34,2018年8月20日,1,歡迎輸入 招待碼 xit2h
35,2018年7月23日,5,有中文啊，去找中文房不就有中文了(# ゜Д゜)
36,2018年7月14日,5,這遊戲告訴我們只要是台版就是坑 別再去求中文了 真的要這樣就去學日文啊 或是自行摸索 不然你打中文他們公司看的懂？
37,2018年7月9日,5,"It is an amazing game. But I can't read Japanese. I hope the community can 
add different languages in the game. Because there are a lot of people like 
me that enjoy this game,but couldn't read Japanese."
38,2018年7月9日,5,梅露可不是沒有中文版，而是中文版老早就倒了，可以請玩家們不要再來QQ求中文版嗎^^
39,2018年7月9日,4,不知為何更新後一直登不進去qwqq卡在登入畫面，畫面會動但點了都沒反應...
40,2018年7月30日,4,不給五星，誰叫你們的五星角這麼難抽
41,2018年7月5日,4,希望能出中文版的
42,2018年7月9日,5,中文版OAO
43,2018年6月6日,5,史上最棒的遊戲，官方最近很努力釋出新活動！希望大家也來嘗試喔！ 然後梅露可是有初始免費十抽的(會送鑽 存著也可以！
44,2018年6月10日,4,這是一款不斷改良優化又好玩又一直出活動到讓我覺得很煩很想罵髒話的遊戲(做太好也被罵的概念XDD)
45,2018年6月30日,5,以前不是沒中文但台服代理商太爛，一直推轉蛋叫你課金抽，不更新，不跟進度，後來就倒了
46,2018年6月9日,5,萌え可愛い永遠笑顔の一番良い良い居の超一流RPG ゲームでありますよ!! ¥(^√^)>
47,2018年6月20日,3,很多年前，好像是有中文的？不知道為什麼要改回來
48,2018年6月20日,5,中国台湾玩家请求日服推出中繁体语言包！！！
49,2018年6月8日,3,有沒有中文啊？有我會給五星，不然看不懂日文，其實很好玩
50,2018年6月29日,5,可以出中文版的嗎？有些地方看不懂
51,2018年6月24日,5,求內建漢化或英化！！！
52,2018年6月6日,5,喜歡了3年多的遊戲，希望一直持續下去!
53,2018年6月21日,3,有中文嗎？我記得幾年前有中文的啊！
54,2018年7月3日,5,玩了3年，角色和劇情都很喜歡❤
55,2018年6月17日,5,良心遊戲
56,2018年6月27日,5,讚~
57,2018年5月9日,4,希望有中文翻譯，我知道臺服停運了，但如果可以在遊戲中內設語言就好了。
58,2018年5月26日,5,陪伴我超過2年的超好玩遊戲 希望之後能夠出更多可愛的角色和國別劇情!!
59,2018年6月18日,5,五星機率太低給一星，等抽到想要五星時再改回評五顆星
60,2018年5月12日,5,如果能设置语言就好了，哪怕是英文也可以啊
61,2018年5月6日,4,悪くないわ。物語もいるし
62,2018年5月2日,5,台服舊玩家回來回味一下😢
63,2018年10月17日,5,很喜歡！很愛！可惜手機被偷，來不及做換機設定，也找不到之前的換機碼，只好買各種周邊
64,2018年6月3日,4,求內建漢化！！！！！
65,2018年5月20日,5,Like it very much.
66,2018年6月7日,5,很棒的遊戲
67,2018年5月3日,5,好玩～
68,2018年4月28日,5,遊戲平衡性很好，新角數值不會打臉舊角，代表不用擔心現在的角色以後會沒用、不敢練，並且有多種關卡，每關限制不同，使每個角色都有機會上場，畫風和動畫小人都很吸引人，劇情很有內容、溫馨感人（看不懂日文的可以找網路上翻譯），內設繁中房間可以給中文人士暢談，在我看來是完美的遊戲。
69,2018年4月25日,5,人物都很可愛💓💓
70,2018年4月7日,5,我永遠喜歡梅露可
71,2018年4月24日,5,200抽都是垃圾  這機率還真不是普通的低
72,2018年4月30日,4,好玩、感謝開發這遊戲的人。
73,2018年4月9日,5,玩第四年了！
74,2018年4月7日,1,Bad rate for 5 star
75,2018年4月16日,3,没中文
76,2018年4月7日,5,\大愛梅露可/
77,2018年4月4日,5,Soso
78,2018年3月29日,5,玩最久也離不開的手機遊戲 很喜歡畫風，抽傭兵也沒有怪物角或是裝備實在很棒！而且梅露可不斷更新新的活動，讓人不會玩膩，暴走活動更是讓每個人都有機會有五星角色真的超讚！（雖然暴走活動實在很肝XD）硬要說缺點大概是抽率實在很令人哀傷XDDDD
79,2018年4月1日,4,好懷念台服阿...不過遊戲還是依舊的好玩!! 真的很謝謝梅露可帶給我們那麼好的遊戲體驗
80,2018年4月3日,5,想念台服😢但依舊非常好玩
81,2018年4月1日,5,如果可以有中文會更好😢😢😢
82,2018年9月27日,4,大改版回歸
83,2018年4月1日,5,ちょうかわい ~~~(*´∀｀)
84,2018年3月10日,5,台服關了 默默來日服:3 希望有語言選項(雖然不太可能030
85,2018年1月22日,5,やっぱり…メルストは、サイコウやな！
86,2018年1月22日,5,好想儲值，可是台灣沒有這遊戲能用的卡能買！😩
87,2018年11月20日,5,那些一直求中文翻譯的，以前有台版的梅露可物語，只是關服了，這個是日版，想要中文劇情的，可以去youtube或其他平臺找以前台版的記錄，雖然故事不多，起碼也有些翻譯可以看，日版就是日版，不然就去學日語吧
88,2018年2月14日,5,有沒有中文或國語的 梅露可物語
89,2018年3月8日,5,只求日版不倒  我永遠支持
90,2018年3月21日,5,嘛 有中文聊天室也不錯了 反正很多人都只聊天嘛
91,2018年3月21日,5,神作 讓我離不開的遊戲XD
92,2018年2月4日,1,原來正體漢字版倒閉了，怪不得停止運作啦～！ (๑‾᷅^‾᷅๑)
93,2018年2月23日,4,可以不要用鑽石還抽到兩星嗎？
94,2018年3月20日,5,史上最好玩的遊戲沒有之一!!!!! 讓我印象深刻的完美遊戲
95,2018年3月11日,5,希望有中文語言來看故事
96,2018年6月20日,4,這遊戲在《貓咪大戰爭》的合作活動 角色非常好用
97,2018年3月7日,5,合作關卡 貓咪大戰爭
98,2018年2月1日,5,來懷舊的，沒想到台服倒了....
99,2018年3月23日,5,給我抽到5★，我就給5顆★
100,2018年1月22日,5,素晴らしい &gt;w&lt;
101,2018年2月16日,1,没中文
102,2018年2月22日,5,超級用心的遊戲
103,2018年2月19日,5,我超級喜歡的
104,2018年1月26日,5,nice game
105,2018年2月11日,5,很有趣
106,2018年3月17日,5,不錯玩
107,2018年3月21日,5,角色很美
108,2018年5月26日,5,可愛耐玩
109,2018年1月22日,4,可以
110,2018年2月3日,5,Great
111,2018年1月9日,5,前の旅が終わり、今新しい旅は始まります。私はとても好き、例えばストーリーや、イラストや、戦闘や。ありがとうございます！
112,2017年12月24日,5,好玩～可愛～超療癒 台版移民菜鳥，日文初學者XD 只能靠爬文和google翻譯
113,2018年1月19日,5,遊戲非常的不錯但如果有語言設定那更好也希望繁體中文版復出
114,2018年1月7日,5,"After updating , I cannot enter the game. Phone type:HTC A9"
115,2018年1月1日,5,故事很棒，畫風漂亮，可惜台版倒了，只能轉戰日版
116,2018年1月5日,5,我要中文我要中文我要中文 很重要要講三次 看不懂日文呀
117,2018年1月13日,5,跟哲平說的一樣好玩
118,2018年1月2日,5,起手比台版好很多
119,2018年1月9日,5,很棒的遊戲！ノノ超可愛！
120,2018年1月12日,1,都是日文我看不懂
121,2017年12月31日,5,五星雖然難抽。。。可是已經把三星當五星用的非洲人。。。覺得不錯玩。。。。都玩了幾年了。。。愛死梅露可
122,2018年2月22日,4,雖然有玩，但是莫名其妙地閃退，不管案怎麼都是回到本頁了………………
123,2018年1月21日,1,沒有中文版
124,2018年1月24日,5,好玩！
125,2018年1月21日,3,沒中文要怎麼玩？
126,2018年1月20日,5,Very cute
127,2018年1月21日,5,梅露可~
128,2018年1月15日,5,想要中文啊~~~
129,2018年1月23日,5,耐玩~
130,2018年1月13日,5,妹子
131,2018年1月22日,5,永續經營...
132,2017年12月29日,5,棒 (๑•̀╰╯•́)و.｡.:*✧
133,2018年1月20日,5,怎麼會有人看不懂日文然後給一顆星== 看不懂不會去學嗎 之前也有台版了啊（只是倒了 倒了然後來日版這邊該……
134,2017年12月30日,5,好遊戲！希望能有中文介面
135,2017年12月18日,5,很好玩的遊戲，台版移民
136,2017年12月29日,5,面白いなァ～！
137,2017年12月10日,5,中文玩家請盡量在中文房發言 如果在日文房請使用日文發言 不要作出佔領其他房間的行為 謝謝合作
138,2017年12月18日,5,算中，重階級課長玩的遊戲！
139,2017年12月14日,3,怎麼改成中文版??
140,2017年12月10日,1,我已經140等了(´._.`)一張5星都沒有，是我手氣爛還是系統綁定我沒有5星的命……這是正常的嗎…
141,2017年11月18日,5,抽不到五星(倒
142,2017年11月18日,5,非常好玩！！！
143,2017年11月3日,4,希望日版可以出個改變語言的系統，讓之前待在台版和陸版的玩家也能在日版玩的開心！
144,2017年11月10日,5,我希望把台版玩家帳號移到日版，這樣我會更有動力回鍋
145,2017年11月11日,5,這很好玩！只是希望可以調成中文的系統( ˘•ω•˘ ) 希望有一天能出現中文語言...
146,2017年10月28日,5,雖然台版關了，但我會繼續支持日版！！
147,2017年11月14日,5,畫風很可愛owb非常好玩wwwww
148,2017年11月5日,5,角色畫風可愛、劇情很有趣，十分喜歡的遊戲。
149,2017年11月3日,5,求歐神降臨～
150,2017年11月2日,5,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG GGGGGGGGG
151,2017年10月24日,5,可愛
152,2017年11月8日,5,(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)(≧▽≦)棒
153,2017年10月1日,5,超好玩！劇情角色都很棒，玩法也不錯，操作也很順暢＼(^o^)／
154,2017年10月7日,3,希望可以增加中文語言選擇，讓臺灣人也可以玩的很輕鬆😁😁
155,2017年10月13日,5,除了角色造型觀賞用的太少，沒什麼可挑剔
156,2017年9月26日,4,現在登不進去
157,2017年10月11日,5,希望有中文切換選項(´；ω；｀)
158,2017年10月8日,5,御貓の麵包師!(◕‿◕✿）
159,2017年9月12日,5,人物好看漂亮故事劇情豐富多樣感人超棒的但是五星機率好低QQ都抽不到五星（認真打爆走拿五星書好嗎#
160,2017年8月31日,5,"日版繼承碼: uavzp6zxse，spjrb9kqyy，bxcwjgkdqi  密碼:anss4560,anss8560,111111111 要的自取"
161,2017年6月29日,4,都是日語 看都看不懂 好玩啦 但是看不懂啊メルすと
162,2017年5月5日,2,"I've been play this game for two years. The game difficulty is getting harder and harder. I kinda losing the faith on it. ***for Newcomer***, I highly recommend you go looking for some other game to play."
163,2017年8月8日,5,棒棒棒
164,2017年5月31日,5,比臺版的好太多了吧~ 還是日本動漫遊戲最行，讚!不一定要五星才是最好的，有些五星不一定強，所以提醒各位不要太奢侈°
165,2017年7月24日,1,遊戲好玩，人物也很可愛。可惜扭蛋坑很大，最近推出的踏破也很腦洞。
166,2017年9月16日,5,"我玩過最好玩的遊戲,角色好可愛"
167,2017年6月8日,5,讚，比台服好
168,2017年7月4日,5,你們這些人明明是自己手機問題不要在那裡嗆，特招50%是抽到五星的50%不懂不要雞歪。 這是我玩最久的手遊而且不用課金，明明就很不錯。
169,2017年8月12日,5,我想問一下，我充了$251，點解收吾到，係訂購記錄內有記錄，8月13日充的，帳號是 epvzb71nrb 請幫我看看，謝謝
170,2017年5月2日,5,玩過最久的手遊，也越來越喜歡。可以感受到開發端有努力讓玩家去研究系統、各種隊伍組合，而不只是一昧營造玩家五星至上的環境。看評論就知道大家都被五星至上荼毒太久
171,2017年6月30日,1,垃圾遊戲一直閃退無法前進
172,2018年3月18日,5,多年重載，腦袋很多資料都跟不上了
173,2017年6月10日,5,這麼說雖然很誇張，但本人因為這款遊戲找到對人生的熱情!
174,2017年5月18日,3,還是一直出現小bug，遊戲體驗有待再加強
175,2018年1月6日,5,哈哈，台版倒了
176,2017年5月23日,5,新手一开始就抽到2个五星   可是要怎么玩  看不懂
177,2017年9月3日,5,好玩
178,2017年5月4日,4,日版比台版多了好多東西…不過還不錯！
179,2017年6月17日,5,也他X的太讚了吧！！
180,2017年9月14日,5,可愛すぎる
181,2017年6月17日,5,超好玩
182,2017年5月17日,5,實際刷過五星，機率約1%，還可以。不像某些遊戲，幾百隻帳，沒一隻五星...
183,2017年6月17日,5,❤(ӦｖӦ｡)
184,2017年8月12日,5,角色設計很可愛｡:+((*´艸`))+:｡ ぷぷっ
185,2017年7月8日,5,抽到五星的感覺真爽
186,2017年6月15日,5,梅露可喔喔喔喔！！！！！！
187,2017年5月29日,1,我打的BP有達總輸出的0.1%，為什麼沒拿到總積分的獎勵，ID [mgmt*byhd*]
188,2017年4月30日,5,太棒了，抽到五星
189,2017年7月25日,5,Good
190,2017年9月14日,4,もう意味がわからないののじゃ
191,2017年4月27日,5,日版讚讚，雖然公告什麼的要自己翻譯不是很方便，但是許多功能都比台版好
192,2017年5月8日,5,希望台版能早日跟上日版的進度
193,2017年7月27日,5,深坑
194,2017年7月28日,4,Owo
195,2017年7月21日,4,7/22，00:21，我用無法登錄
196,2017年6月28日,5,Nice
197,2017年9月12日,5,玩了3年還在繼續，有它的魅力吧
198,2017年6月17日,5,梅露可超級讚的嗚嗚嗚嗚
199,2017年6月17日,5,日版送鑽大方啊~~~好感動嗚嗚
200,2018年4月2日,5,很好的遊戲，希望能有中文版!!!!!
201,2017年4月2日,5,輕鬆玩很久的遊戲
202,2017年4月7日,3,日本手遊的通病：極度血腥的低機率中獎機率。論美術風格來說算是還可以的遊戲，風格頗統一
203,2017年2月20日,5,遊戲是還不錯，但是自從ios版也開放後，連線品質真的是爛斃了，某些時段，連線讀取進入失敗吃AP次數超高，十次有八次失敗，也讀取超久如果有花錢跳坑的，要考慮一下，沒碰過連線品質這麼差的
204,2017年3月17日,3,好到沒話說。
205,2017年1月24日,5,我想這就是遊戲 一開始喜歡原因是角色分明 活動更新穩 公會設定穩  可以跟朋友認識
206,2017年2月17日,5,美術、音樂、劇情、平衡、遊戲性都超優！營運也非常用心回應玩家的願望改善系統，是我玩過感覺最好的手遊！(*´∀｀)
207,2017年4月12日,5,：３
208,2017年2月20日,5,更新後打不開(´;ㅿ;｀)
209,2017年2月4日,3,感謝單抽五星ww
210,2017年11月24日,5,善用玄學時間(笑
211,2017年2月20日,5,很好
212,2017年3月26日,5,メルスト大好!!!(*ﾟ∀ﾟ)
213,2017年2月2日,3,在用交換所時每次都跳掉
214,2017年3月17日,5,很棒
215,2017年4月22日,4,唯一的致命缺點就是會害人課金太多
216,2017年3月28日,4,好玩
217,2017年4月20日,5,日版的福利比台版好上很多，希望能繼續一直玩下去
218,2017年4月18日,5,很好ww
219,2017年1月31日,5,超級喜歡玩的！
220,2017年1月22日,5,臺灣難民……
221,2017年4月18日,5,很耐玩的遊戲 劇情很值得看
222,2017年2月4日,5,畫風不錯，劇情還不錯
223,2017年3月8日,5,好玩
224,2017年2月4日,5,吾乃台版難民
225,2017年6月17日,5,必定抽到的信封怎麼開
226,2017年1月21日,5,吾乃台版難民。
227,2017年5月10日,5,好玩
228,2017年4月4日,5,請不要將香港的也下架，謝謝。
229,2017年4月22日,5,好玩
230,2017年2月9日,3,帳號不見了...為什麼玩一玩會不見啊
231,2017年4月29日,5,希望……活動多一點變化ORZ
232,2017年2月16日,5,遊戲平衡佳，劇情美術方面優，且貼心設置繁體中文房，不用擔心語言不通、交不到朋友。只要有愛，三星傭兵若有練起來能打過各種活動，資源累積起來四、五星也能漸漸入手，是需要耐心培養的遊戲。
233,2017年6月13日,5,Good
234,2017年4月25日,5,不錯，有五星
235,2017年4月17日,4,不錯
236,2017年1月30日,5,good
237,2017年6月17日,5,日版送鑽大方啊~~~好感動嗚嗚
238,2017年2月5日,4,希望可以繼續營運，並與日版版本同步
239,2017年5月27日,5,好玩
240,2016年12月18日,3,問題都有改善很不錯，還有如果某一天停止營運，希望角色不要消失，因為好不容易才得到的角色不見很可惜，能讓我們自由登入，但是不更新程式，就像開心寶貝一樣
241,2016年12月21日,4,こんにちは 私はメルクストーリアの台湾版のプレイヤーです 私の日本語は下手なので、よろしくお願いします 2017/3/6台湾版も終わろうとしています メルクストーリア遊び2年は多い非常に、非常に好き IDとゲーム資料変えるメルクストーリア日本版てもいいですか?
242,2016年12月17日,5,超喜歡梅露可！((台服被關來日版
243,2017年1月5日,5,Good game Wish you can keep a good service in all time:)
244,2017年1月9日,5,也是來避難的台人 日版說成「日版」本來就是為日本人玩的，所以我們不要一直要求對方用什麼語言變更系統才好（雖然我也希望就是了…）。
245,2017年1月4日,1,"榮耀之路真的讓人充滿不悅,只要沒角色就根本不用想要打了…"
246,2016年12月6日,5,臺服要加油 我的招待碼tcpp5 歡迎加入
247,2016年12月15日,5,梅露可  我還是支持你啊~~~ 台服關惹跑來日服的可憐人QAQ
248,2016年12月17日,5,讚 拜託讓台版帳號轉移
249,2016年12月17日,5,台版難民求關照!!!送送10鑽什麼的...(小小聲
250,2016年12月16日,5,梅露可我超喜歡!台服被關跑來日版  希望能切換語言!
251,2016年12月31日,5,台服難民在此(ﾟ∀ﾟ) 日服本來就不是給繁文使用者用的  可是日服很細心的在裡面設計了一個繁文房  良心公司  而且他的腳色都超美 畫風超讚(ﾟ∀ﾟ) 雖然以後的劇情都看不懂了  不過還是想繼續玩\(*°∀。)ノ（日文障礙
252,2016年12月23日,5,- 很棒的遊戲：）          {給那些希望切換語言的玩家，梅露可能為中文玩家開中文房就應該心存感激了，他們沒有怨尤的（雖然不代表日本玩家沒有不高興）為我們設計了這些房間，請懷抱感恩的不要奢求更多好嗎😠}
253,2016年12月15日,5,還是日版好 從0開始，台版再見
254,2016年11月27日,1,進不去…
255,2016年11月11日,5,日版很棒！ 官方，拜託救救台版，讓他改錯字，更新版本orz
256,2016年12月16日,5,台版RIP
257,2016年12月20日,5,台版關了好可惜!! 來入日版坑('∀')
258,2016年12月16日,5,太喜歡了無法自拔所以從台版來日版
259,2016年12月17日,5,メルク!!!!!!最高!!!
260,2016年11月15日,5,LOVE LOVE
